X;Nome.questao;percentual;n;num.tema
10;01_medida_probabilidade_10.Rnw;0,72;164;1
8;01_medida_probabilidade_08.Rnw;0,69;61;1
2;01_medida_probabilidade_02.Rnw;0,63;191;1
9;01_medida_probabilidade_09.Rnw;0,6;173;1
6;01_medida_probabilidade_06.Rnw;0,56;70;1
7;01_medida_probabilidade_07.Rnw;0,46;139;1
3;01_medida_probabilidade_03.Rnw;0,44;200;1
5;01_medida_probabilidade_05.Rnw;0,4;NA;1
4;01_medida_probabilidade_04.Rnw;0,37;226;1
1;01_medida_probabilidade_01.Rnw;0,36;158;1
14;02_propriedade_probabilidade_04.Rnw;0,71;185;2
20;02_propriedade_probabilidade_10.Rnw;0,59;158;2
19;02_propriedade_probabilidade_09.Rnw;0,51;117;2
12;02_propriedade_probabilidade_02.Rnw;0,51;88;2
17;02_propriedade_probabilidade_07.Rnw;0,44;190;2
13;02_propriedade_probabilidade_03.Rnw;0,42;80;2
18;02_propriedade_probabilidade_08.Rnw;0,42;49;2
11;02_propriedade_probabilidade_01.Rnw;0,36;130;2
16;02_propriedade_probabilidade_06.Rnw;0,36;234;2
15;02_propriedade_probabilidade_05.Rnw;0,36;151;2
27;03_probabilidade_total_07.Rnw;0,77;185;3
22;03_probabilidade_total_02.Rnw;0,74;57;3
21;03_probabilidade_total_01.Rnw;0,71;106;3
26;03_probabilidade_total_06.Rnw;0,71;226;3
23;03_probabilidade_total_03.Rnw;0,69;130;3
28;03_probabilidade_total_08.Rnw;0,68;135;3
30;03_probabilidade_total_10.Rnw;0,68;87;3
29;03_probabilidade_total_09.Rnw;0,68;168;3
25;03_probabilidade_total_05.Rnw;0,62;164;3
24;03_probabilidade_total_04.Rnw;0,52;124;3
31;04_teorema_Bayes_01.Rnw;0,68;166;4
34;04_teorema_Bayes_04.Rnw;0,61;57;4
36;04_teorema_Bayes_06.Rnw;0,61;213;4
39;04_teorema_Bayes_09.Rnw;0,61;246;4
37;04_teorema_Bayes_07.Rnw;0,57;199;4
32;04_teorema_Bayes_02.Rnw;0,55;93;4
40;04_teorema_Bayes_10.Rnw;0,5;74;4
33;04_teorema_Bayes_03.Rnw;0,5;49;4
38;04_teorema_Bayes_08.Rnw;0,38;149;4
35;04_teorema_Bayes_05.Rnw;0,34;136;4
50;05_variaveis_aleatorias_10.Rnw;0,84;97;5
47;05_variaveis_aleatorias_07.Rnw;0,72;166;5
45;05_variaveis_aleatorias_05.Rnw;0,69;219;5
41;05_variaveis_aleatorias_01.Rnw;0,65;155;5
48;05_variaveis_aleatorias_08.Rnw;0,63;363;5
49;05_variaveis_aleatorias_09.Rnw;0,6;181;5
46;05_variaveis_aleatorias_06.Rnw;0,6;37;5
42;05_variaveis_aleatorias_02.Rnw;0,6;NA;5
43;05_variaveis_aleatorias_03.Rnw;0,44;113;5
44;05_variaveis_aleatorias_04.Rnw;0,37;51;5
59;06_distribuicao_binomial_09.Rnw;0,68;167;6
60;06_distribuicao_binomial_10.Rnw;0,68;236;6
54;06_distribuicao_binomial_04.Rnw;0,55;213;6
51;06_distribuicao_binomial_01.Rnw;0,48;NA;6
52;06_distribuicao_binomial_02.Rnw;0,47;86;6
56;06_distribuicao_binomial_06.Rnw;0,47;177;6
55;06_distribuicao_binomial_05.Rnw;0,42;118;6
58;06_distribuicao_binomial_08.Rnw;0,42;208;6
53;06_distribuicao_binomial_03.Rnw;0,42;49;6
57;06_distribuicao_binomial_07.Rnw;0,3;128;6
61;07_distribuicao_geometrica_01.Rnw;0,77;172;7
66;07_distribuicao_geometrica_06.Rnw;0,62;218;7
68;07_distribuicao_geometrica_08.Rnw;0,61;72;7
69;07_distribuicao_geometrica_09.Rnw;0,6;200;7
63;07_distribuicao_geometrica_03.Rnw;0,57;229;7
70;07_distribuicao_geometrica_10.Rnw;0,57;50;7
64;07_distribuicao_geometrica_04.Rnw;0,46;162;7
65;07_distribuicao_geometrica_05.Rnw;0,4;56;7
67;07_distribuicao_geometrica_07.Rnw;0,4;118;7
62;07_distribuicao_geometrica_02.Rnw;0,34;105;7
80;08_distribuicao_hipergeometrica_10.Rnw;0,79;155;8
79;08_distribuicao_hipergeometrica_09.Rnw;0,62;102;8
73;08_distribuicao_hipergeometrica_03.Rnw;0,61;129;8
76;08_distribuicao_hipergeometrica_06.Rnw;0,61;313;8
71;08_distribuicao_hipergeometrica_01.Rnw;0,53;104;8
74;08_distribuicao_hipergeometrica_04.Rnw;0,44;223;8
72;08_distribuicao_hipergeometrica_02.Rnw;0,41;34;8
77;08_distribuicao_hipergeometrica_07.Rnw;0,41;201;8
75;08_distribuicao_hipergeometrica_05.Rnw;0,41;88;8
78;08_distribuicao_hipergeometrica_08.Rnw;0,35;33;8
84;09_distribuicao_poisson_04.Rnw;0,75;20;9
89;09_distribuicao_poisson_09.Rnw;0,59;51;9
90;09_distribuicao_poisson_10.Rnw;0,5;171;9
88;09_distribuicao_poisson_08.Rnw;0,5;140;9
81;09_distribuicao_poisson_01.Rnw;0,5;126;9
85;09_distribuicao_poisson_05.Rnw;0,46;176;9
87;09_distribuicao_poisson_07.Rnw;0,43;152;9
82;09_distribuicao_poisson_02.Rnw;0,38;254;9
86;09_distribuicao_poisson_06.Rnw;0,38;125;9
83;09_distribuicao_poisson_03.Rnw;0,38;167;9
95;10_aproximacao_poisson_binomial_05.Rnw;0,61;122;10
